year,month,avg_temp,avg_prcp,price
2017,6,75.56666666666666,0.09,4.37
2017,7,79.41935483870968,0.10458333333333332,4.77
2017,8,72.19354838709677,0.20500000000000002,4.83
2017,9,68.23333333333333,0.08555555555555555,4.65
2017,10,56.354838709677416,0.17703703703703705,4.64
2017,11,46.93333333333333,0.0128,4.73
2017,12,33.58064516129032,0.007666666666666666,4.51
2018,1,35.12903225806452,0.02103448275862069,4.69
2018,2,35.714285714285715,0.10153846153846155,4.92
2018,3,48.935483870967744,0.066,5.1
2018,4,51.46666666666667,0.05842105263157894,5.29
2018,5,68.65217391304348,0.2525925925925926,5.39
2018,8,75.75862068965517,0.44758620689655176,5.3
2018,9,68.7,0.080625,5.15
2018,10,52.54838709677419,0.32724137931034486,5.22
2018,11,38.30769230769231,0.052500000000000005,5.23
2019,1,33.58064516129032,0.04153846153846154,5.28
2019,2,32.2,0.035833333333333335,5.33
2019,3,40.516129032258064,0.17124999999999999,5.19
2019,4,55.766666666666666,0.11266666666666666,4.93
2019,5,59.45161290322581,0.5716666666666667,4.78
2019,6,71.5,0.19666666666666666,4.81
2019,7,79.25806451612904,0.089,4.52
2019,8,78.51612903225806,0.5162068965517241,4.35
2019,9,75.56666666666666,0.16931034482758622,4.26
2019,10,50.064516129032256,0.17615384615384616,4.45
2019,11,40.93333333333333,0.033888888888888885,4.39
2019,12,37.096774193548384,0.04666666666666667,4.64
2020,1,36.54838709677419,0.05222222222222222,4.87
2020,2,34.724137931034484,0.10166666666666667,4.88
2020,3,48.74193548387097,0.2529166666666667,4.86
2020,4,53.8,0.079,4.84
2020,5,65.45161290322581,0.34548387096774197,4.76
